Temperature (C),Humidity (%),Date and Time
22.0,59,2025-01-07 15:58:22
21.9,58,2025-01-07 15:59:23
21.8,58,2025-01-07 16:00:25
21.9,62,2025-01-07 16:01:25
24.2,57,2025-01-07 16:02:28
