Temperature (C),Humidity (%),Date and Time
21.9,58,2025-01-07 15:53:19
22.0,59,2025-01-07 15:54:19
21.8,57,2025-01-07 15:55:19
21.9,58,2025-01-07 15:56:20
21.9,58,2025-01-07 15:57:22
