Temperature (C),Humidity (%),Date and Time
22.0,58,2025-01-07 15:48:15
21.9,57,2025-01-07 15:49:16
22.0,58,2025-01-07 15:50:16
22.0,59,2025-01-07 15:51:16
21.9,57,2025-01-07 15:52:16
