Temperature (C),Humidity (%),Date and Time
24.1,56,2025-01-07 16:03:28
24.0,52,2025-01-07 16:04:28
23.4,52,2025-01-07 16:05:29
23.1,53,2025-01-07 16:06:29
22.8,53,2025-01-07 16:07:29
21.9,55,2025-01-07 16:23:25
